Institution,CourseName,1G,Predicted_AvgCutoffRank
E004  Dr. Ambedkar Institute Of Technology  Bangalore,EC Electronics,18357.0,28996.350795383394
E232  Reva University  Bangalore,BW B Tech in CS,18493.0,37161.62185766069
E105  Nitte Meenakshi Institutute of Technology  Bangalore,EC Electronics,18551.0,30596.33667040182
E212  Dayananda Sagar Academy of Technology  Kanakapur Main Road Bangalore,IE Info.Science,18881.0,32522.8386707099
E235  M.S. Ramaiah University of Applied Sciences  Bangalore,CU B Tech in IS,18920.0,36821.890782343035
E118  RNS Institute of Technology  Bangalore,CY CS- CyberSecurity,19017.0,33845.85411373913
E097  C M R Institute of Technology  Bangalore,DS Comp. Sc. Engg-Data Sc.,19032.0,31299.054372784183
E082  J S S Academy of Technical Education  Bangalore,"CA CS (AI, MachineLearning)",19108.0,38956.39984245865
E107  B N M Institute of Technology  Bangalore,EC Electronics,19143.0,34168.99283302166
E002  S K S J T Institute of Engineering.  Bangalore,EC Electronics,19231.0,29639.06112773041
E021  Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore,EE Electrical,19233.0,30356.010255187528
E056  The National Institute of Engineering(SOUTH CAMPUS)  Mysore,EC Electronics,19271.0,25204.50310315616
E212  Dayananda Sagar Academy of Technology  Kanakapur Main Road Bangalore,DS Comp. Sc. Engg-Data Sc.,19394.0,32190.753970523725
E036  KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.)  Belgaum,CS Computers,19453.0,27194.02587046521
E103  Global Academy of Technology  Bangalore,CS Computers,19508.0,29910.073061254727
E118  RNS Institute of Technology  Bangalore,"CA CS (AI, MachineLearning)",19535.0,40109.75837500615
E011  M V J College of Engineering  Bangalore,CS Computers,19718.0,28070.51868833851
"E115  S J B Institute of Technology  Kengeri,Bangalore (ATNMS)",IE Info.Science,19874.0,31360.123301254454
E160  Sahyadri College of Engg. and Management  Mangalore,IE Info.Science,19953.0,31338.63378162938
E079  Acharya Institute of Technology  Bangalore,AI ArtificialIntelligence,19995.0,36065.29902592881
E047  Malnad College of Engineering  Hassan,CS Computers,20028.0,28921.291139687444
E235  M.S. Ramaiah University of Applied Sciences  Bangalore,BH B Tech in AI,20035.0,41547.9138867289
E097  C M R Institute of Technology  Bangalore,"AD ArtificialIntel, Data Sc",20056.0,34230.94392182669
E058  P E S College of Engineering  Mandya,CS Computers,20065.0,26500.00474111423
E037  K.L.S. Gogte Institute of Technology  Belgaum,EC Electronics,20164.0,30039.170279352027
E166  K L E Institute of Technology  Hubli,CS Computers,20199.0,26163.62267300279
E108  Sapthagiri NPS College of Engineering  Bangalore,CS Computers,20372.0,46130.74322830419
E097  C M R Institute of Technology  Bangalore,AI ArtificialIntelligence,20378.0,38034.472634688886
E099  New Horizon College of Engineering  Bangalore,EC Electronics,20473.0,38181.43525361549
E001  University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),EE Electrical,20587.0,34525.6036160349
E232  Reva University  Bangalore,CU B Tech in IS,20739.0,47304.52924053597
E118  RNS Institute of Technology  Bangalore,EC Electronics,20856.0,36947.442968335235
E011  M V J College of Engineering  Bangalore,IE Info.Science,20923.0,37049.596691226165
E016  Siddaganga Institute of Technology  Tumkur,EE Electrical,21233.0,37852.45889731131
E212  Dayananda Sagar Academy of Technology  Kanakapur Main Road Bangalore,AI ArtificialIntelligence,21285.0,36767.81207413333
E105  Nitte Meenakshi Institutute of Technology  Bangalore,CB Comp. Sc. andBus Sys.,21301.0,42728.55962582115
E232  Reva University  Bangalore,AM B Tech in AM,21519.0,44683.02175453832
E290  Visvesvaraya Technological University - Regional Center  Mysore,CS Computers,21536.0,37081.77880329996
E077  Vidya Vikas Institute of Engineering and Technology  Mysuru,CS Computers,21963.0,36579.03183155072
E049  Basaveshwara Engineering College  Bagalkot,CS Computers,21979.0,34636.73115043627
"E012  Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,","IC CS-IoT, CyberSecurity",22041.0,38902.94588148115
E036  KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.)  Belgaum,EC Electronics,22137.0,40329.697715172435
E166  K L E Institute of Technology  Hubli,EC Electronics,22162.0,41412.02742879466
E071  Vidya Vardhaka College of Engineering  Mysuru,EC Electronics,22269.0,42605.89861300517
E021  Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore,"EL Electronics,Instr. Tech.",22276.0,55594.43805043856
E034  Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad,AI ArtificialIntelligence,22343.0,44918.63899091558
E007  Dayananda Sagar College of Engineering  Bangalore,EE Electrical,22396.0,40049.62113102507
"E012  Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",BT Bio Technology,22621.0,52097.416777235565
E160  Sahyadri College of Engg. and Management  Mangalore,"CA CS (AI, MachineLearning)",22627.0,49059.30699329124
"E012  Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",DS Comp. Sc. Engg-Data Sc.,22720.0,33397.45152285449
